CAS,R,SMILES,PBT_label
473-98-3,pr,OCC12CCC(C(=C)C)C2C2CCC3C4(C)CCC(O)C(C)(C)C4CCC3(C)C2(C)CC1,1
474-08-8,pr,O[C@@H]1CC[C@]2(C)[C@H](CC[C@@H]3[C@H]4C[C@H]5N6C[C@H](C)CC[C@@H]6[C@@H](C)[C@H]5[C@]4(C)CC[C@H]23)C1,1
474-15-7,n,OCC12C(O)CC(C)(C)CC2C2=CCC3C4(C)CCC(O)C(C)(C)C4CCC3(C)C2(C)CC1O,1
475-26-3,pr,Fc1ccc(cc1)C(c1ccc(F)cc1)C(Cl)(Cl)Cl,1
477-58-7,pr,COc1cc2CCN(C)[C@H]3Cc4ccc(cc4)Oc4c5c(CCN(C)[C@@H]5Cc5ccc(O)c(c5)Oc1cc23)cc(OC)c4O,1
477-62-3,pr,COc1cc2CCN(C)C3Cc4ccc(cc4)Oc4c5c(CCN(C)C5Cc5ccc(cc5)Oc(c23)c1O)cc(OC)c4O,1
478-61-5,pr,COc1c(OC)cc2CCN(C)[C@H]3Cc4ccc(O)c(c4)Oc4ccc(cc4)C[C@H]4N(C)CCc5cc(OC)c(Oc1c23)cc45,1
479-23-2,pr,c1ccc2c(c1)ccc1c2cc2cccc3CCc1c23,1
481-46-9,n,COc1cc(O)c2c(=O)cc(oc2c1)c1ccc(OC)c(c1)c1c(O)cc(O)c2c(=O)cc(oc12)c1ccc(O)cc1,1
486-47-5,pr,CCOc1ccc(cc1OCC)Cc1nccc2cc(OCC)c(OCC)cc12,1
493-75-4,n,C=CCc1cc(cc(CN(CC)CC)c1O)c1cc(CC=C)c(O)c(CN(CC)CC)c1,1
507-63-1,pr,FC(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)I)C(F)(F)C(F)(F)F,1
509-34-2,pr,CCN(CC)c1ccc2c(c1)Oc1cc(ccc1C12OC(=O)c2ccccc12)N(CC)CC,1
510-78-1,n,CC(=C)C1C2OC(=O)C3(CCC4(C)C(CCC5C6(C)CCC(=O)C(C)(C)C6CCC45C)C13)C2,1
511-85-3,n,CC1=CC23CCC4C(C)(C)CCCC4(C)C3CCC1C2,1
512-04-9,pr,CC1CCC2(OC1)OC1CC3C4CC=C5CC(O)CCC5(C)C4CCC3(C)C1C2C,1
515-03-7,pr,C=CC(C)(O)CCC1C(C)(O)CCC2C(C)(C)CCCC12C,1
